customer_id,name,email,age,gender,gv_plus_member,gv_plus_tier,registration_date,last_visit_date,recency_days,total_visits,total_spend,avg_ticket_price,pct_weekend_visits,pct_evening_visits,favourite_genre,preferred_location,acquisition_channel
GV000001,Surya Singh,surya.singh62@email.com,31,F,0,Free,2023-09-05,2024-11-01,61,4,71.28,17.82,0.65,0.384,Thriller,Kallang Leisure Park,Walk-in
GV000002,Xiu Ying Yeo,xiu.ying.yeo91@email.com,29,Prefer not to say,0,Free,2021-09-28,2024-12-15,17,9,463.11,51.46,0.434,0.872,Action,Tampines,Website
GV000003,Darren Kumar,darren.kumar36@email.com,33,F,0,Free,2024-05-15,2024-07-16,169,2,34.82,17.41,0.48,0.675,Drama,Jurong Point,Partner Referral
GV000004,Jasmine Chen,jasmine.chen37@email.com,60,M,0,Free,2021-10-11,2024-10-10,83,1,12.15,12.15,0.478,0.616,Sci-Fi,Paya Lebar,Partner Referral
GV000005,Jasmine Singh,jasmine.singh69@email.com,61,F,1,Gold,2023-03-15,2024-12-23,9,21,548.86,26.14,0.719,0.766,Thriller,Jurong Point,Social Media
GV000006,Faiz Kumar,faiz.kumar36@email.com,49,M,0,Free,2022-05-15,2024-06-20,195,2,29.83,14.91,0.491,0.442,Drama,Paya Lebar,GV App
GV000007,Hui Min Wong,hui.min.wong66@email.com,54,M,1,Gold,2024-02-02,2024-12-17,15,23,641.18,27.88,0.963,0.84,Thriller,Bishan,GV App
GV000008,Ling Ling Singh,ling.ling.singh33@email.com,19,F,0,Free,2024-02-17,2024-12-21,11,5,326.6,65.32,0.545,0.775,Drama,Bishan,Website
GV000009,Jia Qi Lee,jia.qi.lee67@email.com,20,F,1,Gold,2022-10-25,2024-12-28,4,38,921.2,24.24,0.789,0.793,Action,JEM,Website
GV000010,Ryan Goh,ryan.goh60@email.com,25,M,1,Standard,2024-06-30,2024-06-24,191,1,14.93,14.93,0.427,0.608,Romance,Yishun,Website
GV000011,Li Ting Patel,li.ting.patel96@email.com,42,M,1,Platinum,2023-03-23,2024-12-06,26,28,655.9,23.42,0.881,0.948,Sci-Fi,Jurong Point,Social Media
GV000012,Ryan Koh,ryan.koh86@email.com,36,M,1,Platinum,2024-01-13,2024-12-11,21,10,558.91,55.89,0.503,0.727,Thriller,Vivocity,Social Media
GV000013,Amelia Abdullah,amelia.abdullah72@email.com,64,M,1,Gold,2023-01-08,2024-12-30,2,36,796.36,22.12,0.779,0.769,Thriller,Jurong Point,Social Media
GV000014,Darren Nair,darren.nair13@email.com,42,M,0,Free,2023-07-08,2024-06-22,193,14,278.0,19.86,0.791,0.693,Horror,JEM,Website
GV000015,Farhan Singh,farhan.singh12@email.com,28,M,0,Free,2024-11-13,2024-05-12,234,14,256.64,18.33,0.668,0.698,Sci-Fi,JEM,GV App
GV000016,Surya Ong,surya.ong23@email.com,47,F,1,Platinum,2024-08-23,2024-11-30,32,6,383.32,63.89,0.446,0.576,Thriller,Paya Lebar,GV App
GV000017,Shreya Yeo,shreya.yeo35@email.com,58,F,0,Free,2022-10-27,2024-05-08,238,10,203.92,20.39,0.629,0.737,Comedy,Bishan,Website
GV000018,Shreya Tan,shreya.tan31@email.com,61,F,0,Free,2022-07-17,2024-06-17,198,6,74.06,12.34,0.582,0.534,Drama,JEM,Social Media
GV000019,Siti Ng,siti.ng12@email.com,61,F,1,Platinum,2024-10-05,2024-11-30,32,7,518.87,74.12,0.512,0.729,Action,Kallang Leisure Park,Corporate
GV000020,Arjun Patel,arjun.patel73@email.com,65,M,1,Platinum,2021-11-24,2024-12-23,9,27,746.02,27.63,0.941,0.98,Thriller,Vivocity,Website
GV000021,Tan Wei Tan,tan.wei.tan65@email.com,48,Prefer not to say,1,Platinum,2022-07-22,2024-12-15,17,32,919.6,28.74,0.972,0.829,Sci-Fi,Bishan,Walk-in
GV000022,Jun Hao Teo,jun.hao.teo79@email.com,60,F,0,Free,2021-10-02,2024-09-07,116,2,31.37,15.69,0.614,0.321,Action,Bishan,GV App
GV000023,Surya Singh,surya.singh17@email.com,42,Prefer not to say,1,Gold,2022-07-20,2024-12-24,8,26,666.87,25.65,0.881,0.775,Thriller,JEM,GV App
GV000024,Arjun Chua,arjun.chua52@email.com,16,M,0,Free,2022-09-27,2024-07-03,182,5,80.96,16.19,0.323,0.649,Comedy,Kallang Leisure Park,GV App
GV000025,Surya Hussain,surya.hussain27@email.com,35,M,0,Free,2023-06-18,2024-12-21,11,9,505.19,56.13,0.714,0.228,Romance,Yishun,Social Media
GV000026,Wei Jie Lee,wei.jie.lee66@email.com,26,Prefer not to say,0,Free,2022-03-22,2024-12-25,7,39,990.17,25.39,0.781,0.87,Sci-Fi,Vivocity,GV App
GV000027,Wei Jie Kumar,wei.jie.kumar47@email.com,44,F,0,Free,2023-01-02,2024-04-09,267,6,125.79,20.96,0.773,0.462,Sci-Fi,Vivocity,Partner Referral
GV000028,Ryan Goh,ryan.goh51@email.com,41,F,0,Free,2022-01-14,2024-09-28,95,4,63.23,15.81,0.595,0.412,Thriller,Kallang Leisure Park,GV App
GV000029,Surya Ramachandran,surya.ramachandran14@email.com,60,M,1,Gold,2022-04-01,2024-12-26,6,5,277.7,55.54,0.558,0.616,Drama,Tampines,Website
GV000030,Jun Hao Nair,jun.hao.nair81@email.com,47,F,0,Free,2024-06-04,2024-06-25,190,2,36.85,18.43,0.466,0.456,Horror,Bishan,Social Media
GV000031,Tan Wei Teo,tan.wei.teo46@email.com,53,Prefer not to say,1,Standard,2021-12-01,2024-09-13,110,5,76.99,15.4,0.558,0.349,Horror,Tampines,GV App
GV000032,Hui Fen Hussain,hui.fen.hussain79@email.com,49,F,1,Platinum,2024-09-12,2024-12-30,2,19,432.74,22.78,0.925,0.745,Sci-Fi,Kallang Leisure Park,Partner Referral
GV000033,Hui Min Lee,hui.min.lee89@email.com,36,M,0,Free,2024-09-27,2024-07-22,163,6,91.49,15.25,0.541,0.636,Animation,Vivocity,GV App
GV000034,Surya Lim,surya.lim48@email.com,52,M,0,Free,2023-03-04,2024-11-25,37,8,678.26,84.78,0.789,0.285,Romance,JEM,Walk-in
GV000035,Karthik Ramachandran,karthik.ramachandran78@email.com,54,M,0,Free,2024-05-25,2024-06-28,187,6,91.34,15.22,0.492,0.539,Horror,Bishan,GV App
GV000036,Ling Ling Chen,ling.ling.chen38@email.com,51,F,1,Gold,2023-03-20,2024-12-21,11,21,651.83,31.04,0.704,0.92,Sci-Fi,Bishan,Partner Referral
GV000037,Rajan Lee,rajan.lee85@email.com,45,F,1,Standard,2021-12-06,2024-01-11,356,14,333.19,23.8,0.585,0.778,Sci-Fi,Kallang Leisure Park,Walk-in
GV000038,Karthik Teo,karthik.teo16@email.com,41,M,0,Free,2023-06-06,2024-08-08,146,2,25.63,12.82,0.451,0.648,Horror,Yishun,Social Media
GV000039,Farhan Teo,farhan.teo79@email.com,45,M,0,Free,2023-10-10,2024-06-17,198,7,108.55,15.51,0.735,0.584,Animation,Kallang Leisure Park,Corporate
GV000040,Marcus Ng,marcus.ng48@email.com,27,F,1,Standard,2023-10-29,2024-01-19,348,7,155.17,22.17,0.598,0.616,Sci-Fi,Jurong Point,Walk-in
GV000041,Jia Qi Kumar,jia.qi.kumar40@email.com,17,F,0,Free,2022-10-13,2024-10-28,65,1,14.37,14.37,0.411,0.403,Sci-Fi,Bishan,Walk-in
GV000042,Hui Min Ng,hui.min.ng53@email.com,19,F,0,Free,2023-05-11,2024-11-20,42,8,619.14,77.39,0.811,0.179,Comedy,Tampines,Social Media
GV000043,Surya Abdullah,surya.abdullah30@email.com,47,M,0,Free,2022-11-01,2024-07-09,176,2,25.74,12.87,0.583,0.612,Romance,Jurong Point,GV App
GV000044,Xiu Ying Wong,xiu.ying.wong63@email.com,62,Prefer not to say,1,Silver,2022-12-20,2024-11-11,51,10,729.1,72.91,0.605,0.331,Romance,Vivocity,Walk-in
GV000045,Priya Ong,priya.ong64@email.com,38,M,0,Free,2024-05-23,2024-09-26,97,4,70.2,17.55,0.466,0.635,Animation,Kallang Leisure Park,Social Media
GV000046,Jasmine Ong,jasmine.ong65@email.com,66,M,0,Free,2022-04-30,2024-09-12,111,4,72.21,18.05,0.618,0.375,Horror,Tampines,GV App
